# Plate File Name: F:\QuantStudio\2020-07-11 AUTOMATED EXTRACTION PLATE 2.eds
# Description: 
# User Name: JMR
# Last Modified Date/Time: 1969-12-31 07:00:00 PM EST
# Date Created: 2020-07-11 02:44:37 PM EDT
# Barcode: H3K006LC
# Instrument Type: QuantStudio™ 7 System
# Block Type: 384-Well Block
# Instrument Name: 278872955
# Instrument Serial Number: 278872955
# Heated Cover Serial Number: null
# Block Serial Number: null
# Plate Run Start Date/Time: 2020-07-11 03:52:04 PM EDT
# Plate Run End Date/Time: 2020-07-11 05:25:46 PM EDT
# Run Duration: 93 minutes 41 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 2 Step 2
# Pre-read Stage/Step: 
# Post-read Stage/Step: 
# Passive Reference: null
# Quantification Cycle Method: CT

[Target Call]
Well Position,Sample,Target,Cq
E13,Plate_1,N2,Undetermined
E13,Plate_1,RP,Undetermined
E14,Plate_2,N1,Undetermined
E14,Plate_2,N2,Undetermined
E14,Plate_2,RP,Undetermined
E15,Plate_1,N1,Undetermined
E15,Plate_1,N2,Undetermined
E15,Plate_1,RP,Undetermined
E16,Plate_2,N1,Undetermined
E16,Plate_2,N2,Undetermined
E16,Plate_2,RP,Undetermined
E17,Plate_1,N1,Undetermined
E17,Plate_1,N2,Undetermined
E17,Plate_1,RP,Undetermined
E18,Plate_2,N1,Undetermined
E18,Plate_2,N2,Undetermined
E18,Plate_2,RP,Undetermined
E19,Plate_1,N1,Undetermined
E19,Plate_1,N2,Undetermined
E19,Plate_1,RP,Undetermined
E20,Plate_2,N1,Undetermined
E20,Plate_2,N2,Undetermined
E20,Plate_2,RP,Undetermined
E21,Plate_1,N1,Undetermined
E21,Plate_1,N2,Undetermined
E21,Plate_1,RP,Undetermined
E22,Plate_2,N1,Undetermined
E22,Plate_2,N2,Undetermined
E22,Plate_2,RP,Undetermined
E23,Plate_1,N1,Undetermined
E23,Plate_1,N2,Undetermined
E23,Plate_1,RP,Undetermined
E24,Plate_2,N1,Undetermined
E24,Plate_2,N2,Undetermined
E24,Plate_2,RP,Undetermined
F1,NEC_3,N1,Undetermined
F1,NEC_3,N2,Undetermined
F1,NEC_3,RP,Undetermined
F2,NEC_4,N1,Undetermined
F2,NEC_4,N2,Undetermined
F2,NEC_4,RP,Undetermined
F3,Plate_3,N1,Undetermined
F3,Plate_3,N2,Undetermined
F3,Plate_3,RP,Undetermined
F4,Plate_4,N1,Undetermined
F4,Plate_4,N2,Undetermined
F4,Plate_4,RP,Undetermined
F5,Plate_3,N1,Undetermined
F5,Plate_3,N2,Undetermined
F5,Plate_3,RP,Undetermined
F6,Plate_4,N1,Undetermined
F6,Plate_4,N2,Undetermined
F6,Plate_4,RP,Undetermined
F7,Plate_3,N1,Undetermined
F7,Plate_3,N2,Undetermined
F7,Plate_3,RP,Undetermined
F8,Plate_4,N1,Undetermined
F8,Plate_4,N2,Undetermined
F8,Plate_4,RP,Undetermined
F9,Plate_3,N1,Undetermined
F9,Plate_3,N2,Undetermined
F9,Plate_3,RP,Undetermined
F10,Plate_4,N1,Undetermined
F10,Plate_4,N2,Undetermined
F10,Plate_4,RP,Undetermined
F11,Plate_3,N1,Undetermined
F11,Plate_3,N2,Undetermined
F11,Plate_3,RP,Undetermined
F12,Plate_4,N1,Undetermined
F12,Plate_4,N2,Undetermined
F12,Plate_4,RP,Undetermined
F13,Plate_3,N1,Undetermined
F13,Plate_3,N2,Undetermined
F13,Plate_3,RP,Undetermined
F14,Plate_4,N1,Undetermined
F14,Plate_4,N2,Undetermined
F14,Plate_4,RP,Undetermined
F15,Plate_3,N1,Undetermined
F15,Plate_3,N2,Undetermined
F15,Plate_3,RP,Undetermined
F16,Plate_4,N1,Undetermined
F16,Plate_4,N2,Undetermined
F16,Plate_4,RP,Undetermined
F17,Plate_3,N1,Undetermined
F17,Plate_3,N2,Undetermined
F17,Plate_3,RP,Undetermined
F18,Plate_4,N1,Undetermined
F18,Plate_4,N2,Undetermined
F18,Plate_4,RP,Undetermined
F19,Plate_3,N1,Undetermined
F19,Plate_3,N2,Undetermined
F19,Plate_3,RP,Undetermined
F20,Plate_4,N1,Undetermined
F20,Plate_4,N2,Undetermined
F20,Plate_4,RP,Undetermined
F21,Plate_3,N1,Undetermined
F21,Plate_3,N2,Undetermined
F21,Plate_3,RP,Undetermined
F22,Plate_4,N1,Undetermined
F22,Plate_4,N2,Undetermined
F22,Plate_4,RP,Undetermined
F23,Plate_3,N1,Undetermined
F23,Plate_3,N2,Undetermined
F23,Plate_3,RP,Undetermined
F24,Plate_4,N1,Undetermined
F24,Plate_4,N2,Undetermined
F24,Plate_4,RP,Undetermined
G1,Plate_1,N1,33.65827253120031
G1,Plate_1,N2,31.885252071532534
G1,Plate_1,RP,34.45155058905492
G2,Plate_2,N1,Undetermined
G2,Plate_2,N2,Undetermined
G2,Plate_2,RP,Undetermined
G3,Plate_1,N1,Undetermined
G3,Plate_1,N2,Undetermined
G3,Plate_1,RP,Undetermined
G4,Plate_2,N1,Undetermined
G4,Plate_2,N2,Undetermined
G4,Plate_2,RP,Undetermined
G5,Plate_1,N1,Undetermined
G5,Plate_1,N2,Undetermined
G5,Plate_1,RP,Undetermined
G6,Plate_2,N1,Undetermined
G6,Plate_2,N2,Undetermined
G6,Plate_2,RP,Undetermined
G7,Plate_1,N1,Undetermined
G7,Plate_1,N2,Undetermined
G7,Plate_1,RP,Undetermined
G8,Plate_2,N1,Undetermined
G8,Plate_2,N2,Undetermined
G8,Plate_2,RP,Undetermined
G9,Plate_1,N1,Undetermined
G9,Plate_1,N2,Undetermined
G9,Plate_1,RP,Undetermined
G10,Plate_2,N1,Undetermined
G10,Plate_2,N2,Undetermined
G10,Plate_2,RP,Undetermined
G11,Plate_1,N1,Undetermined
G11,Plate_1,N2,Undetermined
G11,Plate_1,RP,Undetermined
G12,Plate_2,N1,Undetermined
G12,Plate_2,N2,Undetermined
G12,Plate_2,RP,Undetermined
G13,Plate_1,N1,Undetermined
G13,Plate_1,N2,Undetermined
G13,Plate_1,RP,Undetermined
G14,Plate_2,N1,Undetermined
G14,Plate_2,N2,Undetermined
G14,Plate_2,RP,Undetermined
G15,Plate_1,N1,Undetermined
G15,Plate_1,N2,Undetermined
G15,Plate_1,RP,Undetermined
G16,Plate_2,N1,Undetermined
G16,Plate_2,N2,Undetermined
G16,Plate_2,RP,Undetermined
G17,Plate_1,N1,Undetermined
G17,Plate_1,N2,Undetermined
G17,Plate_1,RP,Undetermined
G18,Plate_2,N1,Undetermined
G18,Plate_2,N2,Undetermined
G18,Plate_2,RP,Undetermined
G19,Plate_1,N1,Undetermined
G19,Plate_1,N2,Undetermined
G19,Plate_1,RP,Undetermined
G20,Plate_2,N1,Undetermined
G20,Plate_2,N2,Undetermined
G20,Plate_2,RP,Undetermined
G21,Plate_1,N1,Undetermined
G21,Plate_1,N2,Undetermined
G21,Plate_1,RP,Undetermined
G22,Plate_2,N1,Undetermined
G22,Plate_2,N2,Undetermined
G22,Plate_2,RP,Undetermined
G23,Plate_1,N1,Undetermined
G23,Plate_1,N2,Undetermined
G23,Plate_1,RP,Undetermined
G24,Plate_2,N1,Undetermined
G24,Plate_2,N2,Undetermined
G24,Plate_2,RP,Undetermined
H1,Plate_3,N1,Undetermined
H1,Plate_3,N2,Undetermined
H1,Plate_3,RP,Undetermined
H2,Plate_4,N1,Undetermined
H2,Plate_4,N2,Undetermined
H2,Plate_4,RP,Undetermined
H3,Plate_3,N1,Undetermined
H3,Plate_3,N2,Undetermined
H3,Plate_3,RP,Undetermined
H4,Plate_4,N1,Undetermined
H4,Plate_4,N2,Undetermined
H4,Plate_4,RP,Undetermined
H5,Plate_3,N1,Undetermined
H5,Plate_3,N2,Undetermined
H5,Plate_3,RP,Undetermined
H6,Plate_4,N1,Undetermined
H6,Plate_4,N2,Undetermined
H6,Plate_4,RP,Undetermined
H7,Plate_3,N1,Undetermined
H7,Plate_3,N2,Undetermined
H7,Plate_3,RP,Undetermined
H8,Plate_4,N1,Undetermined
H8,Plate_4,N2,Undetermined
H8,Plate_4,RP,Undetermined
H9,Plate_3,N1,Undetermined
H9,Plate_3,N2,Undetermined
H9,Plate_3,RP,Undetermined
H10,Plate_4,N1,Undetermined
H10,Plate_4,N2,Undetermined
H10,Plate_4,RP,Undetermined
H11,Plate_3,N1,Undetermined
H11,Plate_3,N2,Undetermined
H11,Plate_3,RP,Undetermined
H12,Plate_4,N1,Undetermined
H12,Plate_4,N2,Undetermined
H12,Plate_4,RP,Undetermined
H13,Plate_3,N1,Undetermined
H13,Plate_3,N2,Undetermined
H13,Plate_3,RP,Undetermined
H14,Plate_4,N1,Undetermined
H14,Plate_4,N2,Undetermined
H14,Plate_4,RP,Undetermined
H15,Plate_3,N1,Undetermined
H15,Plate_3,N2,Undetermined
H15,Plate_3,RP,Undetermined
H16,Plate_4,N1,Undetermined
H16,Plate_4,N2,Undetermined
H16,Plate_4,RP,Undetermined
H17,Plate_3,N1,Undetermined
H17,Plate_3,N2,Undetermined
H17,Plate_3,RP,Undetermined
H18,Plate_4,N1,Undetermined
H18,Plate_4,N2,Undetermined
H18,Plate_4,RP,Undetermined
H19,Plate_3,N1,Undetermined
H19,Plate_3,N2,Undetermined
H19,Plate_3,RP,Undetermined
H20,Plate_4,N1,Undetermined
H20,Plate_4,N2,Undetermined
H20,Plate_4,RP,Undetermined
H21,Plate_3,N1,Undetermined
H21,Plate_3,N2,Undetermined
H21,Plate_3,RP,Undetermined
H22,Plate_4,N1,Undetermined
H22,Plate_4,N2,Undetermined
H22,Plate_4,RP,Undetermined
H23,Plate_3,N1,Undetermined
H23,Plate_3,N2,Undetermined
H23,Plate_3,RP,Undetermined
H24,Plate_4,N1,Undetermined
H24,Plate_4,N2,Undetermined
H24,Plate_4,RP,Undetermined
I1,Plate_1,N1,33.62955541651455
I1,Plate_1,N2,32.593102619841304
I1,Plate_1,RP,34.84029850413542
I2,Plate_2,N1,Undetermined
I2,Plate_2,N2,Undetermined
I2,Plate_2,RP,Undetermined
I3,Plate_1,N1,Undetermined
I3,Plate_1,N2,Undetermined
I3,Plate_1,RP,Undetermined
I4,Plate_2,N1,Undetermined
I4,Plate_2,N2,Undetermined
I4,Plate_2,RP,Undetermined
I5,Plate_1,N1,Undetermined
I5,Plate_1,N2,Undetermined
I5,Plate_1,RP,Undetermined
I6,Plate_2,N1,Undetermined
I6,Plate_2,N2,Undetermined
I6,Plate_2,RP,Undetermined
I7,Plate_1,N1,Undetermined
I7,Plate_1,N2,Undetermined
I7,Plate_1,RP,Undetermined
I8,Plate_2,N1,Undetermined
I8,Plate_2,N2,Undetermined
I8,Plate_2,RP,Undetermined
I9,Plate_1,N1,Undetermined
I9,Plate_1,N2,Undetermined
I9,Plate_1,RP,Undetermined
I10,Plate_2,N1,Undetermined
I10,Plate_2,N2,Undetermined
I10,Plate_2,RP,Undetermined
I11,Plate_1,N1,Undetermined
I11,Plate_1,N2,Undetermined
I11,Plate_1,RP,Undetermined
I12,Plate_2,N1,Undetermined
I12,Plate_2,N2,Undetermined
I12,Plate_2,RP,Undetermined
I13,Plate_1,N1,Undetermined
I13,Plate_1,N2,Undetermined
I13,Plate_1,RP,Undetermined
I14,Plate_2,N1,Undetermined
I14,Plate_2,N2,Undetermined
I14,Plate_2,RP,Undetermined
I15,Plate_1,N1,Undetermined
I15,Plate_1,N2,Undetermined
I15,Plate_1,RP,Undetermined
I16,Plate_2,N1,Undetermined
I16,Plate_2,N2,Undetermined
I16,Plate_2,RP,Undetermined
I17,Plate_1,N1,Undetermined
I17,Plate_1,N2,Undetermined
I17,Plate_1,RP,Undetermined
I18,Plate_2,N1,Undetermined
I18,Plate_2,N2,Undetermined
I18,Plate_2,RP,Undetermined
I19,Plate_1,N1,Undetermined
I19,Plate_1,N2,Undetermined
I19,Plate_1,RP,Undetermined
I20,Plate_2,N1,Undetermined
I20,Plate_2,N2,Undetermined
I20,Plate_2,RP,Undetermined
I21,Plate_1,N1,Undetermined
I21,Plate_1,N2,Undetermined
I21,Plate_1,RP,Undetermined
I22,Plate_2,N1,Undetermined
I22,Plate_2,N2,Undetermined
I22,Plate_2,RP,Undetermined
I23,Plate_1,N1,Undetermined
I23,Plate_1,N2,Undetermined
I23,Plate_1,RP,Undetermined
I24,Plate_2,N1,Undetermined
I24,Plate_2,N2,Undetermined
I24,Plate_2,RP,Undetermined
J1,Plate_3,N1,Undetermined
J1,Plate_3,N2,Undetermined
J1,Plate_3,RP,Undetermined
J2,Plate_4,N1,Undetermined
J2,Plate_4,N2,Undetermined
J2,Plate_4,RP,Undetermined
J3,Plate_3,N1,Undetermined
J3,Plate_3,N2,Undetermined
J3,Plate_3,RP,Undetermined
J4,Plate_4,N1,Undetermined
J4,Plate_4,N2,Undetermined
J4,Plate_4,RP,Undetermined
J5,Plate_3,N1,Undetermined
J5,Plate_3,N2,Undetermined
J5,Plate_3,RP,Undetermined
J6,Plate_4,N1,Undetermined
J6,Plate_4,N2,Undetermined
J6,Plate_4,RP,Undetermined
J7,Plate_3,N1,Undetermined
J7,Plate_3,N2,Undetermined
J7,Plate_3,RP,Undetermined
J8,Plate_4,N1,Undetermined
J8,Plate_4,N2,Undetermined
J8,Plate_4,RP,Undetermined
J9,Plate_3,N1,Undetermined
J9,Plate_3,N2,Undetermined
J9,Plate_3,RP,Undetermined
J10,Plate_4,N1,Undetermined
J10,Plate_4,N2,Undetermined
J10,Plate_4,RP,Undetermined
J11,Plate_3,N1,Undetermined
J11,Plate_3,N2,Undetermined
J11,Plate_3,RP,Undetermined
J12,Plate_4,N1,Undetermined
J12,Plate_4,N2,Undetermined
