# Plate File Name: G:\2020-07-11 AUTOMATED EXTRACTION PLATE 2.eds
# Description: 
# User Name: JMR
# Last Modified Date/Time: 1969-12-31 07:00:00 PM EST
# Date Created: 2020-07-11 02:44:37 PM EDT
# Barcode: H3K006LC
# Instrument Type: QuantStudio™ 7 System
# Block Type: 384-Well Block
# Instrument Name: 278872955
# Instrument Serial Number: 278872955
# Heated Cover Serial Number: null
# Block Serial Number: null
# Plate Run Start Date/Time: 2020-07-11 03:52:04 PM EDT
# Plate Run End Date/Time: 2020-07-11 05:25:46 PM EDT
# Run Duration: 93 minutes 41 seconds
# Sample Volume: 20.0
# Cover Temperature: 105.0
# PCR Stage / Cycle where Analysis is performed: Stage 2 Step 2
# Pre-read Stage/Step: 
# Post-read Stage/Step: 
# Passive Reference: null
# Quantification Cycle Method: CT

"[Target Call]"
"Well Position","Target","Cq"
"F13","RP","Undetermined"
"F14","N1","Undetermined"
"F14","N2","Undetermined"
"F14","RP","Undetermined"
"F15","N1","Undetermined"
"F15","N2","Undetermined"
"F15","RP","Undetermined"
"F16","N1","Undetermined"
"F16","N2","Undetermined"
"F16","RP","Undetermined"
"F17","N1","Undetermined"
"F17","N2","Undetermined"
"F17","RP","Undetermined"
"F18","N1","Undetermined"
"F18","N2","Undetermined"
"F18","RP","Undetermined"
"F19","N1","Undetermined"
"F19","N2","Undetermined"
"F19","RP","Undetermined"
"F20","N1","Undetermined"
"F20","N2","Undetermined"
"F20","RP","Undetermined"
"F21","N1","Undetermined"
"F21","N2","Undetermined"
"F21","RP","Undetermined"
"F22","N1","Undetermined"
"F22","N2","Undetermined"
"F22","RP","Undetermined"
"F23","N1","Undetermined"
"F23","N2","Undetermined"
"F23","RP","Undetermined"
"F24","N1","Undetermined"
"F24","N2","Undetermined"
"F24","RP","Undetermined"
"G1","N1","33.65827253120031"
"G1","N2","31.885252071532534"
"G1","RP","34.45155058905492"
"G2","N1","Undetermined"
"G2","N2","Undetermined"
"G2","RP","Undetermined"
"G3","N1","Undetermined"
"G3","N2","Undetermined"
"G3","RP","Undetermined"
"G4","N1","Undetermined"
"G4","N2","Undetermined"
"G4","RP","Undetermined"
"G5","N1","Undetermined"
"G5","N2","Undetermined"
"G5","RP","Undetermined"
"G6","N1","Undetermined"
"G6","N2","Undetermined"
"G6","RP","Undetermined"
"G7","N1","Undetermined"
"G7","N2","Undetermined"
"G7","RP","Undetermined"
"G8","N1","Undetermined"
"G8","N2","Undetermined"
"G8","RP","Undetermined"
"G9","N1","Undetermined"
"G9","N2","Undetermined"
"G9","RP","Undetermined"
"G10","N1","Undetermined"
"G10","N2","Undetermined"
"G10","RP","Undetermined"
"G11","N1","Undetermined"
"G11","N2","Undetermined"
"G11","RP","Undetermined"
"G12","N1","Undetermined"
"G12","N2","Undetermined"
"G12","RP","Undetermined"
"G13","N1","Undetermined"
"G13","N2","Undetermined"
"G13","RP","Undetermined"
"G14","N1","Undetermined"
"G14","N2","Undetermined"
"G14","RP","Undetermined"
"G15","N1","Undetermined"
"G15","N2","Undetermined"
"G15","RP","Undetermined"
"G16","N1","Undetermined"
"G16","N2","Undetermined"
"G16","RP","Undetermined"
"G17","N1","Undetermined"
"G17","N2","Undetermined"
"G17","RP","Undetermined"
"G18","N1","Undetermined"
"G18","N2","Undetermined"
"G18","RP","Undetermined"
"G19","N1","Undetermined"
"G19","N2","Undetermined"
"G19","RP","Undetermined"
"G20","N1","Undetermined"
"G20","N2","Undetermined"
"G20","RP","Undetermined"
"G21","N1","Undetermined"
"G21","N2","Undetermined"
"G21","RP","Undetermined"
"G22","N1","Undetermined"
"G22","N2","Undetermined"
"G22","RP","Undetermined"
"G23","N1","Undetermined"
"G23","N2","Undetermined"
"G23","RP","Undetermined"
"G24","N1","Undetermined"
"G24","N2","Undetermined"
"G24","RP","Undetermined"
